年份,employeesNumber
2000,309.53936802791293
2001,295.1298442183891
2002,277.6584156469605
2003,256.3747899159664
2004,262.22857142857146
2005,270.2142857142857
2006,288.95714285714286
2007,299.4
2008,310.64285714285717
2009,321.45714285714286
2010,328.6142857142857
2011,336.95714285714286
2012,339.1714285714286
2013,343.01428571428573
2014,348.6142857142857
2015,350.74285714285713
2016,352.8857142857143
2017,355.1857142857143
2018,358.25714285714287
2019,362.7142857142857
2020,378.0190476190476
2021,366.14621848739495
2022,323.6056017941467
