城市名称,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
city6,11184.0,11456.0,12692.0,13472,15048,16736,18260.0,19904.0,21820.0,22256.0,25032.0,26903.39393939394
city14,5880.0,6204.0,6944.0,8192,8940,10208,11484.0,12436.0,13436.0,13988.0,16020.0,17061.309090909097
city9,5584.0,6624.0,7624.0,9860,10644,11696,12480.0,13484.0,14448.0,15044.0,16452.0,16872.50909090912
city1,11077.545454545472,12041.000000000015,12440.0,14836,16112,17608,18664.0,20716.0,22612.0,22984.0,27132.0,29356.0
city4,12808.83636363638,13834.533333333346,14608.0,16216,17612,19468,20472.0,22004.0,23888.0,23912.0,27828.0,29724.0
city7,13380.39393939394,13846.733333333334,13868.0,15632,17120,17784,19216.0,20888.0,22656.0,23132.0,27468.0,29772.0
city10,8663.957575757584,9471.53333333334,10080.0,11480,12676,13936,15220.0,16620.0,18140.0,18332.0,21612.0,23576.0
city11,12038.387878787893,13100.666666666679,13440.0,16160,17520,18864,20240.0,21708.0,23824.0,24480.0,28508.0,30568.0
city16,4928.0,6192.0,6628.0,7324,8824,9652,10824.0,11808.0,12712.0,13860.0,14268.0,16304.0
city17,8984.0,9900.0,10960.0,11684,12864,14084,17592.0,18928.0,20628.0,22520.0,22988.0,26092.0
city19,8879.134199134203,9921.142857142859,11009.714285714283,11804,13520,14628,16264.0,17144.0,18548.0,19928.0,20108.0,23812.0
city20,8116.200865800869,8366.34285714286,8735.714285714288,9072,9980,10628,11448.0,12180.0,13624.0,15004.0,15112.0,17868.0
city23,8070.0,8895.0,10098.0,11415,14301,16044,18372.0,20037.0,20472.0,22572.0,22497.0,26928.0
city27,5958.0,6585.0,7296.0,7944,9525,10797,12018.0,13344.0,14052.0,15372.0,15741.0,16914.0
city31,6411.0,7608.0,8355.0,9396,9189,10323,11583.0,12654.0,13041.0,13641.0,14727.0,16422.0
city35,4578.0,5631.0,6909.0,7905,8517,9180,9921.0,10731.0,11730.0,12729.0,13071.0,15180.0
city38,5079.0,6159.0,6429.0,7500,7995,8934,9975.0,10923.0,11358.0,12510.0,12789.0,14997.0
city21,12565.541558441575,13726.157142857155,14959.285714285721,16020,17814,19332,20562.0,21981.0,24201.0,26295.0,25662.0,30222.0
city25,11794.19480519483,12773.642857142879,13822.214285714303,14442,16227,17799,19311.0,20238.0,21246.0,22797.0,23481.0,27450.0
city29,9329.29090909095,10824.600000000035,12324.000000000027,13641,15306,17100,18597.0,19707.0,21510.0,23364.0,23001.0,26838.0
city22,9865.932467532488,10543.057142857158,11323.285714285725,12390,12816,14040,15771.0,17154.0,18456.0,19980.0,19419.0,24006.0
